"timeStamp","precinctId","countyName","voteType","candidate","votes","delta"
"2020-11-27 04:08:19.000","Precinct 29","Buffalo","total","trumpd","533","533"
"2020-11-27 04:08:19.000","Precinct 29","Buffalo","total","bidenj","119","119"
"2020-11-27 04:08:19.000","Precinct 29","Buffalo","total","jorgensenj","16","16"
"2020-11-27 04:08:19.000","Precinct 3","Buffalo","total","trumpd","757","757"
"2020-11-27 04:08:19.000","Precinct 3","Buffalo","total","bidenj","375","375"
"2020-11-27 04:08:19.000","Precinct 3","Buffalo","total","jorgensenj","26","26"
"2020-11-27 04:08:19.000","Precinct 4","Buffalo","total","trumpd","1171","1171"
"2020-11-27 04:08:19.000","Precinct 4","Buffalo","total","bidenj","457","457"
"2020-11-27 04:08:19.000","Precinct 4","Buffalo","total","jorgensenj","21","21"
"2020-11-27 04:08:19.000","Precinct 5","Buffalo","total","trumpd","518","518"
"2020-11-27 04:08:19.000","Precinct 5","Buffalo","total","bidenj","215","215"
"2020-11-27 04:08:19.000","Precinct 5","Buffalo","total","jorgensenj","27","27"
"2020-11-27 04:08:19.000","Precinct 6","Buffalo","total","trumpd","918","918"
"2020-11-27 04:08:19.000","Precinct 6","Buffalo","total","bidenj","413","413"
"2020-11-27 04:08:19.000","Precinct 6","Buffalo","total","jorgensenj","33","33"
"2020-11-27 04:08:19.000","Precinct 7","Buffalo","total","trumpd","590","590"
"2020-11-27 04:08:19.000","Precinct 7","Buffalo","total","bidenj","387","387"
"2020-11-27 04:08:19.000","Precinct 7","Buffalo","total","jorgensenj","35","35"
"2020-11-27 04:08:19.000","Precinct 8","Buffalo","total","trumpd","356","356"
"2020-11-27 04:08:19.000","Precinct 8","Buffalo","total","bidenj","190","190"
"2020-11-27 04:08:19.000","Precinct 8","Buffalo","total","jorgensenj","13","13"
"2020-11-27 04:08:19.000","Precinct 9","Buffalo","total","trumpd","538","538"
"2020-11-27 04:08:19.000","Precinct 9","Buffalo","total","bidenj","294","294"
"2020-11-27 04:08:19.000","Precinct 9","Buffalo","total","jorgensenj","34","34"
"2020-11-27 04:08:19.000","ARIZONA-RIVERSIDE","Burt","total","trumpd","168","168"
"2020-11-27 04:08:19.000","ARIZONA-RIVERSIDE","Burt","total","bidenj","64","64"
"2020-11-27 04:08:19.000","ARIZONA-RIVERSIDE","Burt","total","jorgensenj","2","2"
"2020-11-27 04:08:19.000","BELL-OAK-PERSH","Burt","total","trumpd","245","245"
"2020-11-27 04:08:19.000","BELL-OAK-PERSH","Burt","total","bidenj","50","50"
"2020-11-27 04:08:19.000","BELL-OAK-PERSH","Burt","total","jorgensenj","5","5"
"2020-11-27 04:08:19.000","CRAIG","Burt","total","trumpd","174","174"
"2020-11-27 04:08:19.000","CRAIG","Burt","total","bidenj","58","58"
"2020-11-27 04:08:19.000","CRAIG","Burt","total","jorgensenj","7","7"
"2020-11-27 04:08:19.000","DECATUR-QUINN","Burt","total","trumpd","207","207"
"2020-11-27 04:08:19.000","DECATUR-QUINN","Burt","total","bidenj","128","128"
"2020-11-27 04:08:19.000","DECATUR-QUINN","Burt","total","jorgensenj","7","7"
"2020-11-27 04:08:19.000","EVERETT-LOGAN","Burt","total","trumpd","161","161"
"2020-11-27 04:08:19.000","EVERETT-LOGAN","Burt","total","bidenj","41","41"
"2020-11-27 04:08:19.000","EVERETT-LOGAN","Burt","total","jorgensenj","0","0"
"2020-11-27 04:08:19.000","LYONS CITY","Burt","total","trumpd","292","292"
"2020-11-27 04:08:19.000","LYONS CITY","Burt","total","bidenj","134","134"
"2020-11-27 04:08:19.000","LYONS CITY","Burt","total","jorgensenj","7","7"
"2020-11-27 04:08:19.000","New/Former Resident","Burt","total","trumpd","0","0"
